foodCode,foodName,alias,category,energyKCal,protein,fat,carbohydrate,dietaryFiber,standardName,searchKeywords,primaryCategory,secondaryCategory,originalCategory,nutritionBasis,basisAmount,basisUnit,defaultServingAmount,defaultServingUnit,defaultServingGram,foodState,cookingMethod,brand,sourceName,sourceType,sourceVersion,sourceQueryDate,dataConfidence,isEstimated,isCompositeFood,isActive,canonicalFoodCode,reviewStatus,reviewNote,energyRepairMethod,originalEnergyKCal,qualityFlags
EXT0011,奶油（焦克）,黄油，白脱，乳脂，淡奶油,乳类及其制品-奶油,447.0,3.0,48.3,0.0,0.0,奶油（焦克）,奶油（焦克），黄油，白脱，乳脂，淡奶油,油脂,动物油及其他油脂,乳类及其制品-奶油,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0011,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,447,
EXT0012,奶油（食品工业）,黄油，白脱，乳脂，淡奶油,乳类及其制品-奶油,504.0,1.1,55.5,0.0,0.0,奶油（食品工业）,奶油（食品工业），黄油，白脱，乳脂，淡奶油,油脂,动物油及其他油脂,乳类及其制品-奶油,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0012,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,504,
EXT0013,黄油,牛油（西式），白脱，乳脂,乳类及其制品-奶油,888.0,1.4,98.0,0.0,0.0,黄油,黄油，牛油（西式），白脱，乳脂,油脂,动物油及其他油脂,乳类及其制品-奶油,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,低,否,否,否,EXT0013,同名冲突待核验,原始数据保留；新增结构字段为规则化整理结果。,,888,
EXT0014,黄油渣,牛油（西式），白脱，乳脂,乳类及其制品-奶油,599.0,11.1,43.8,40.0,0.0,黄油渣,黄油渣，牛油（西式），白脱，乳脂,油脂,动物油及其他油脂,乳类及其制品-奶油,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0014,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,599,
EXT0015,白脱（食品工业）[牛油、黄油],牛油、黄油,乳类及其制品-奶油,744.0,0.0,82.7,0.0,0.0,白脱（食品工业）[牛油、黄油],白脱（食品工业）[牛油、黄油]，牛油，黄油,油脂,动物油及其他油脂,乳类及其制品-奶油,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0015,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,744,
EXT0016,酥油,黄油（西藏），酥油（牦牛乳）,乳类及其制品-奶油,860.0,1.5,94.4,1.1,0.0,酥油,酥油，黄油（西藏），酥油（牦牛乳）,油脂,动物油及其他油脂,乳类及其制品-奶油,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,低,否,否,否,EXT0016,同名冲突待核验,原始数据保留；新增结构字段为规则化整理结果。,,860,
EXT0017,奶油,黄油，白脱，乳脂，淡奶油,乳类及其制品-奶油,785.0,1.1,86.0,1.7,0.0,奶油,奶油，黄油，白脱，乳脂，淡奶油,油脂,动物油及其他油脂,乳类及其制品-奶油,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,低,否,否,否,EXT0017,同名冲突待核验,原始数据保留；新增结构字段为规则化整理结果。,,785,
EXT0018,酥油,黄油（西藏），酥油（牦牛乳）,乳类及其制品-奶油,718.0,0.7,74.9,10.3,0.0,酥油,酥油，黄油（西藏），酥油（牦牛乳）,油脂,动物油及其他油脂,乳类及其制品-奶油,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,低,否,否,否,EXT0018,同名冲突待核验,原始数据保留；新增结构字段为规则化整理结果。,,718,
EXT0019,酥油茶（原味）,黄油（西藏），酥油（牦牛乳）,乳类及其制品-奶油,465.0,3.0,17.7,73.3,0.0,酥油茶（原味）,酥油茶（原味），黄油（西藏），酥油（牦牛乳）,油脂,动物油及其他油脂,乳类及其制品-奶油,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0019,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,465,
EXT0020,全脂奶粉（多维奶粉）,,乳类及其制品-奶粉,484.0,19.9,22.7,49.9,0.0,全脂奶粉（多维奶粉）,全脂奶粉（多维奶粉）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0020,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,484,
EXT0021,全脂奶粉（代表值）,,乳类及其制品-奶粉,482.0,19.9,22.3,50.5,0.0,全脂奶粉（代表值）,全脂奶粉（代表值）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0021,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,482,
EXT0022,全脂奶粉,,乳类及其制品-奶粉,478.0,20.1,21.2,51.7,0.0,全脂奶粉,全脂奶粉,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0022,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,478,
EXT0023,全脂奶粉（速溶）,,乳类及其制品-奶粉,466.0,19.9,18.9,54.0,0.0,全脂奶粉（速溶）,全脂奶粉（速溶）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0023,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,466,
EXT0024,全脂奶粉（雀巢）,,乳类及其制品-奶粉,504.0,24.0,28.0,39.0,0.0,全脂奶粉（雀巢）,全脂奶粉（雀巢）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0024,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,504,
EXT0025,全脂奶粉（伊利牌）,,乳类及其制品-奶粉,504.0,22.0,26.0,45.5,0.0,全脂奶粉（伊利牌）,全脂奶粉（伊利牌）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0025,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,504,
EXT0026,全脂奶粉(红星速溶加锌奶粉),,乳类及其制品-奶粉,478.0,18.5,20.8,54.1,0.0,全脂奶粉(红星速溶加锌奶粉),全脂奶粉(红星速溶加锌奶粉),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0026,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,478,
EXT0027,全脂奶粉（欧世蒙牛多维高钙高铁奶粉）,,乳类及其制品-奶粉,473.0,18.2,21.7,51.1,0.0,全脂奶粉（欧世蒙牛多维高钙高铁奶粉）,全脂奶粉（欧世蒙牛多维高钙高铁奶粉）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0027,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,473,
EXT0028,全脂奶粉（雪花钙加锌调制奶粉）,,乳类及其制品-奶粉,461.0,17.0,19.0,55.5,0.0,全脂奶粉（雪花钙加锌调制奶粉）,全脂奶粉（雪花钙加锌调制奶粉）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0028,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,461,
EXT0029,全脂奶粉（雪花高钙多维调制奶粉）,,乳类及其制品-奶粉,484.0,19.5,22.0,52.0,0.0,全脂奶粉（雪花高钙多维调制奶粉）,全脂奶粉（雪花高钙多维调制奶粉）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0029,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,484,
EXT0030,全脂甜奶粉（代表值）,甜奶粉，全脂加糖奶粉，甜牛奶粉,乳类及其制品-奶粉,485.0,20.2,22.9,49.6,0.0,全脂甜奶粉（代表值）,全脂甜奶粉（代表值），甜奶粉，全脂加糖奶粉，甜牛奶粉,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0030,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,485,
EXT0031,全脂甜奶粉,甜奶粉，全脂加糖奶粉，甜牛奶粉,乳类及其制品-奶粉,490.0,22.5,23.4,47.4,0.0,全脂甜奶粉,全脂甜奶粉，甜奶粉，全脂加糖奶粉，甜牛奶粉,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0031,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,490,
EXT0032,全脂甜奶粉（伊利牌）,甜奶粉，全脂加糖奶粉，甜牛奶粉,乳类及其制品-奶粉,476.0,19.0,21.0,52.8,0.0,全脂甜奶粉（伊利牌）,全脂甜奶粉（伊利牌），甜奶粉，全脂加糖奶粉，甜牛奶粉,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0032,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,476,
EXT0033,全脂甜奶粉(飞鹤全脂甜乳粉),甜奶粉，全脂加糖奶粉，甜牛奶粉,乳类及其制品-奶粉,479.0,20.0,23.0,48.0,0.0,全脂甜奶粉(飞鹤全脂甜乳粉),全脂甜奶粉(飞鹤全脂甜乳粉)，甜奶粉，全脂加糖奶粉，甜牛奶粉,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0033,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,479,
EXT0034,全脂甜奶粉（红星速溶全脂甜奶粉）,甜奶粉，全脂加糖奶粉，甜牛奶粉,乳类及其制品-奶粉,481.0,18.5,23.0,50.0,0.0,全脂甜奶粉（红星速溶全脂甜奶粉）,全脂甜奶粉（红星速溶全脂甜奶粉），甜奶粉，全脂加糖奶粉，甜牛奶粉,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0034,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,481,
EXT0035,全脂甜奶粉（三元燕山牌全脂甜奶粉）,甜奶粉，全脂加糖奶粉，甜牛奶粉,乳类及其制品-奶粉,500.0,21.0,24.0,50.0,0.0,全脂甜奶粉（三元燕山牌全脂甜奶粉）,全脂甜奶粉（三元燕山牌全脂甜奶粉），甜奶粉，全脂加糖奶粉，甜牛奶粉,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0035,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,500,
EXT0036,"低脂奶粉(代表值,高钙高铁)",,乳类及其制品-奶粉,425.0,23.7,11.9,55.9,0.0,"低脂奶粉(代表值,高钙高铁)","低脂奶粉(代表值,高钙高铁)",奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0036,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,425,
EXT0037,"低脂奶粉（高钙高铁,雀巢）",,乳类及其制品-奶粉,413.0,27.0,11.7,50.0,0.0,"低脂奶粉（高钙高铁,雀巢）","低脂奶粉（高钙高铁,雀巢）",奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0037,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,413,
EXT0038,"低脂奶粉（高钙高铁,伊利牌）",,乳类及其制品-奶粉,423.0,27.0,11.0,53.9,0.0,"低脂奶粉（高钙高铁,伊利牌）","低脂奶粉（高钙高铁,伊利牌）",奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0038,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,423,
EXT0039,"低脂奶粉（高钙高铁,可淇牌）",,乳类及其制品-奶粉,437.0,17.0,13.0,63.0,0.0,"低脂奶粉（高钙高铁,可淇牌）","低脂奶粉（高钙高铁,可淇牌）",奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0039,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,437,
EXT0040,全脂奶粉（全脂羊乳粉）,,乳类及其制品-奶粉,498.0,18.8,25.2,49.0,0.0,全脂奶粉（全脂羊乳粉）,全脂奶粉（全脂羊乳粉）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0040,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,498,
EXT0041,"驴奶粉（花麒牌,西域龙驴奶粉）",,乳类及其制品-奶粉,442.0,20.1,12.4,62.4,0.0,"驴奶粉（花麒牌,西域龙驴奶粉）","驴奶粉（花麒牌,西域龙驴奶粉）",奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0041,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,442,
EXT0042,驴奶粉（金驴龙奶）,,乳类及其制品-奶粉,416.0,14.8,8.2,70.8,0.0,驴奶粉（金驴龙奶）,驴奶粉（金驴龙奶）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0042,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,416,
EXT0043,"驴奶粉(源西域牌,冻干特质)",,乳类及其制品-奶粉,428.0,19.3,12.3,60.0,0.0,"驴奶粉(源西域牌,冻干特质)","驴奶粉(源西域牌,冻干特质)",奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0043,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,428,
EXT0044,"驼奶粉(花麒牌,西域龙驼奶粉)",,乳类及其制品-奶粉,528.0,20.2,30.4,43.4,0.0,"驼奶粉(花麒牌,西域龙驼奶粉)","驼奶粉(花麒牌,西域龙驼奶粉)",奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0044,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,528,
EXT0045,驼奶粉(天山牧歌牌),,乳类及其制品-奶粉,513.0,16.7,28.6,47.1,0.0,驼奶粉(天山牧歌牌),驼奶粉(天山牧歌牌),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0045,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,513,
EXT0046,"驼奶粉(旺源牌,全脂驼乳粉)",,乳类及其制品-奶粉,545.0,21.3,34.6,37.0,0.0,"驼奶粉(旺源牌,全脂驼乳粉)","驼奶粉(旺源牌,全脂驼乳粉)",奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0046,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,545,
EXT0047,儿童配方奶粉(代表值),,乳类及其制品-奶粉,454.0,19.0,17.3,56.1,1.1,儿童配方奶粉(代表值),儿童配方奶粉(代表值),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0047,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,454,
EXT0048,"儿童配方奶粉(安儿健A+,美赞臣)",,乳类及其制品-奶粉,428.0,17.9,11.1,64.0,0.0,"儿童配方奶粉(安儿健A+,美赞臣)","儿童配方奶粉(安儿健A+,美赞臣)",奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0048,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,428,
EXT0049,"儿童配方奶粉(适体健,美赞臣)",,乳类及其制品-奶粉,417.0,16.0,9.0,68.0,0.0,"儿童配方奶粉(适体健,美赞臣)","儿童配方奶粉(适体健,美赞臣)",奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0049,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,417,
EXT0050,儿童配方奶粉(惠氏),,乳类及其制品-奶粉,451.0,17.0,15.0,62.0,0.0,儿童配方奶粉(惠氏),儿童配方奶粉(惠氏),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0050,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,451,
EXT0051,儿童配方奶粉(可淇牌),,乳类及其制品-奶粉,457.0,17.0,17.0,59.0,0.0,儿童配方奶粉(可淇牌),儿童配方奶粉(可淇牌),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0051,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,457,
EXT0052,儿童配方奶粉(完达山牌),,乳类及其制品-奶粉,458.0,17.0,18.0,57.0,0.0,儿童配方奶粉(完达山牌),儿童配方奶粉(完达山牌),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0052,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,458,
EXT0053,儿童配方奶粉(贝因美特选幼童配方奶粉4阶段),,乳类及其制品-奶粉,473.0,18.0,19.5,56.6,0.6,儿童配方奶粉(贝因美特选幼童配方奶粉4阶段),儿童配方奶粉(贝因美特选幼童配方奶粉4阶段),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0053,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,473,
EXT0054,儿童配方奶粉(多美滋优阶儿童配方奶粉),,乳类及其制品-奶粉,406.0,19.6,10.0,59.4,0.0,儿童配方奶粉(多美滋优阶儿童配方奶粉),儿童配方奶粉(多美滋优阶儿童配方奶粉),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0054,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,406,
EXT0055,儿童配方奶粉(惠氏金装学儿乐学龄前儿童配方奶粉),,乳类及其制品-奶粉,442.0,17.0,16.0,58.9,3.0,儿童配方奶粉(惠氏金装学儿乐学龄前儿童配方奶粉),儿童配方奶粉(惠氏金装学儿乐学龄前儿童配方奶粉),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0055,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,442,
EXT0056,儿童配方奶粉(美素佳儿GOLD金装儿童配方奶粉),,乳类及其制品-奶粉,452.0,25.8,17.0,49.0,0.0,儿童配方奶粉(美素佳儿GOLD金装儿童配方奶粉),儿童配方奶粉(美素佳儿GOLD金装儿童配方奶粉),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0056,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,452,
EXT0057,儿童配方奶粉(美赞臣安儿健儿童配方奶粉),,乳类及其制品-奶粉,434.0,20.0,12.0,63.0,3.0,儿童配方奶粉(美赞臣安儿健儿童配方奶粉),儿童配方奶粉(美赞臣安儿健儿童配方奶粉),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0057,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,434,
EXT0058,儿童配方奶粉(明治珍爱童儿童配方奶粉),,乳类及其制品-奶粉,465.0,20.0,19.0,53.7,0.3,儿童配方奶粉(明治珍爱童儿童配方奶粉),儿童配方奶粉(明治珍爱童儿童配方奶粉),奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0058,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,465,
EXT0059,儿童配方奶粉（欧世蒙牛奶装佳智学龄前儿童特殊配方奶粉4阶段）,,乳类及其制品-奶粉,470.0,17.9,20.9,52.5,0.0,儿童配方奶粉（欧世蒙牛奶装佳智学龄前儿童特殊配方奶粉4阶段）,儿童配方奶粉（欧世蒙牛奶装佳智学龄前儿童特殊配方奶粉4阶段）,奶及乳制品,奶粉,乳类及其制品-奶粉,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0059,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,470,
